from_node,to_node,length_m,elevation_change,elevation_gain
461630335,461629494,9.215818379817977,0.0,0.0
461630341,461629500,9.974757577422306,-0.3000000000000007,0.0
461630341,1814571403,54.62247946652403,1.1999999999999993,1.1999999999999993
461630402,6405281341,46.508620130419324,2.3999999999999986,2.3999999999999986
461630402,6405281341,150.81873896646636,2.3999999999999986,2.3999999999999986
461630402,6407306885,178.80904643417517,-6.300000000000001,0.0
461630500,7369033998,6.155449800313675,-0.10000000000000142,0.0
461630500,7369033994,5.5264209135538,0.09999999999999432,0.09999999999999432
461630500,2637979826,8.410354386384075,-0.10000000000000142,0.0
461630500,7369034000,8.449621013371376,-0.10000000000000142,0.0
461630504,7369033995,30.70773841115418,-0.10000000000000142,0.0
461630504,7369034001,3.553009996843913,0.0,0.0
461630504,7369033969,3.882041411839823,0.0,0.0
461630504,1303244710,40.65337792583521,1.6999999999999957,1.6999999999999957
461630506,3731552689,28.089369681270124,-0.6999999999999993,0.0
461630506,1303244867,45.267554622263376,0.8999999999999986,0.8999999999999986
461630506,1303243752,90.4284757024667,4.899999999999999,4.899999999999999
461630507,1767739964,33.41678660974506,1.2000000000000028,1.2000000000000028
461630507,1303245823,32.94524524934044,-1.2999999999999972,0.0
461630507,7369033892,18.112919552539296,0.8000000000000043,0.8000000000000043
461630509,7369033923,6.155065047898766,0.10000000000000142,0.10000000000000142
461630509,7369033920,6.924317274764224,-0.10000000000000142,0.0
461630509,7369033918,7.186653769963318,-0.10000000000000142,0.0
461630509,461630510,9.34694224025792,0.0,0.0
461630510,7369033919,7.072891145497038,-0.10000000000000142,0.0
461630510,7369033924,6.401436247550632,0.10000000000000142,0.10000000000000142
461630510,7369033925,6.5014498174440245,0.0,0.0
461630510,461630509,9.34694224025792,0.0,0.0
461630515,7369033914,4.177317041416025,-0.10000000000000142,0.0
461630515,2187246459,34.481987265427705,1.6999999999999993,1.6999999999999993
461630515,2187246388,48.90343426645423,-1.1999999999999993,0.0
461630515,2187246393,30.16148702688704,0.5999999999999979,0.5999999999999979
461630518,461630519,56.54560612566146,1.8000000000000043,1.8000000000000043
461630518,1303150717,51.204953500719085,-2.0999999999999943,0.0
461630518,2187246875,181.4583714236997,-0.29999999999999716,0.0
461630519,461630518,56.54560612566146,-1.8000000000000043,0.0
461630519,13336225512,68.2360290005249,-6.300000000000004,0.0
461630519,9269014802,85.22242731528479,0.6999999999999957,0.6999999999999957
461630522,7755269992,7.067450257627722,0.20000000000000284,0.20000000000000284
461630522,7755269987,7.7361600592654485,0.20000000000000284,0.20000000000000284
730906859,2139634750,55.749286700186644,0.0,0.0
730906859,10732733202,88.7558930054467,0.40000000000000036,0.40000000000000036
730906859,2139628835,52.690360979326215,0.6999999999999993,0.6999999999999993
739474123,916037142,44.44047875041056,-3.0,0.0
739474123,916037148,31.017376224675825,0.49999999999999645,0.49999999999999645
739474123,916037161,117.32327468602291,-1.6000000000000014,0.0
739474123,916037163,203.84047432899732,2.099999999999998,2.099999999999998
739474124,5466265990,9.008069710124936,-0.09999999999999432,0.0
739474124,10723431992,155.41247224422048,-7.199999999999996,0.0
739474124,10721114741,110.64090691457311,2.700000000000003,2.700000000000003
739474126,10721102942,7.464233455762226,0.0,0.0
739474126,10721102947,10.453056749493234,-0.09999999999999432,0.0
739474126,10721102943,10.45345759849893,0.20000000000000284,0.20000000000000284
739474126,739474127,8.73609735611202,0.0,0.0
739474127,10721102944,10.602671922238303,0.20000000000000284,0.20000000000000284
